  i | Label          |   Cond | a_p | rank
-------------------------------------------------------
 77 | 88a1           |     88 |   0 |    1
 78 | 91b1           |     91 |   0 |    1
 79 | 91b2           |     91 |   0 |    1
 80 | 91b3           |     91 |   0 |    1
 81 | 92b1           |     92 |   0 |    1
 82 | 101a1          |    101 |   0 |    1
 83 | 112a1          |    112 |   0 |    1
 84 | 112a2          |    112 |   0 |    1
 85 | 121b1          |    121 |   0 |    1
 86 | 121b2          |    121 |   0 |    1
 87 | 123b1          |    123 |   0 |    1
 88 | 124a1          |    124 |   0 |    1
 89 | 124a2          |    124 |   0 |    1
 90 | 128a1          |    128 |   0 |    1
 91 | 128a2          |    128 |   0 |    1
 92 | 129a1          |    129 |   0 |    1
 93 | 131a1          |    131 |   0 |    1
 94 | 136a1          |    136 |   0 |    1
 95 | 136a2          |    136 |   0 |    1
 96 | 141d1          |    141 |   0 |    1
 97 | 143a1          |    143 |   0 |    1
 98 | 148a1          |    148 |   0 |    1
 99 | 152a1          |    152 |   0 |    1
100 | 153b1          |    153 |   0 |    1
101 | 153b2          |    153 |   0 |    1
102 | 155c1          |    155 |   0 |    1
103 | 156a1          |    156 |   0 |    1
104 | 156a2          |    156 |   0 |    1
105 | 160a1          |    160 |   0 |    1
106 | 160a2          |    160 |   0 |    1
107 | 163a1          |    163 |   0 |    1
108 | 171b1          |    171 |   0 |    1
109 | 171b2          |    171 |   0 |    1
110 | 171b3          |    171 |   0 |    1
111 | 172a1          |    172 |   0 |    1
112 | 172a2          |    172 |   0 |    1
113 | 175b1          |    175 |   0 |    1
114 | 175b2          |    175 |   0 |    1
115 | 175b3          |    175 |   0 |    1
116 | 176c1          |    176 |   0 |    1
117 | 176c2          |    176 |   0 |    1
118 | 184a1          |    184 |   0 |    1
119 | 184b1          |    184 |   0 |    1
120 | 185b1          |    185 |   0 |    1
121 | 189b1          |    189 |   0 |    1
122 | 189b2          |    189 |   0 |    1
123 | 189b3          |    189 |   0 |    1
124 | 192a1          |    192 |   0 |    1
125 | 192a2          |    192 |   0 |    1
126 | 192a3          |    192 |   0 |    1
127 | 192a4          |    192 |   0 |    1
128 | 196a1          |    196 |   0 |    1
129 | 196a2          |    196 |   0 |    1
130 | 200b1          |    200 |   0 |    1
131 | 200b2          |    200 |   0 |    1
132 | 208a1          |    208 |   0 |    1
133 | 208a2          |    208 |   0 |    1
134 | 208a3          |    208 |   0 |    1
135 | 208b1          |    208 |   0 |    1
136 | 209a1          |    209 |   0 |    1
137 | 209a2          |    209 |   0 |    1
138 | 212a1          |    212 |   0 |    1
139 | 215a1          |    215 |   0 |    1
140 | 216a1          |    216 |   0 |    1
141 | 219b1          |    219 |   0 |    1
142 | 219b2          |    219 |   0 |    1
143 | 220a1          |    220 |   0 |    1
144 | 220a2          |    220 |   0 |    1
145 | 220a3          |    220 |   0 |    1
146 | 220a4          |    220 |   0 |    1
147 | 224a1          |    224 |   0 |    1
148 | 224a2          |    224 |   0 |    1
149 | 225a1          |    225 |   0 |    1
150 | 225a2          |    225 |   0 |    1

======================================================================
GESAMT-BILANZ v2
======================================================================
  a_p = -2 ss:  75/75 bit-genau (cond-Range: 37-997)
  a_p =  0 ss:  75/75 bit-genau (cond-Range: 77-225)
  Gesamt:       150/150

THEOREM 1.2 VOLLSTAENDIG bit-genau ueber alle 150 Trigger.
======================================================================
